Topic_ID,Name,Category,Keywords,Total_Count,In_User_Top10,In_Bot_Top10,User_Count,Bot_Count
-1,Mixed/General,General,"mom, alder, table, house",5629,True,True,1525,4104
0,Smirk/Chuckle/Brow,General,"smirk, chuckle, brow, follow",321,False,True,0,302
1,Blush/Blushing/Spatula,General,"blush, blushing, spatula, fuzzy",318,False,True,0,288
2,Start/Typing/Deputy,General,"start, typing, deputy, restaurant",284,False,True,0,280
3,Grin/Sassy/Widely,General,"grin, sassy, widely, widens",187,True,True,82,105
4,Nod/Icing/Firmly,General,"nod, icing, firmly, slowly",181,False,True,0,150
5,Chop/Mood/Youwhat,General,"chop, mood, youwhat, bra",142,False,True,0,130
6,Aad/Lat/Gay,General,"aad, lat, gay, tt",132,False,True,0,105
7,Mmindiflpet/Itstrue/Bye,Animals,"mmindiflpet, itstrue, bye, rr",125,True,False,72,0
8,Replika/Replikas/Hive,General,"replika, replikas, hive, réplika",124,True,False,74,0
9,Mek/Gas/Blew,General,"mek, gas, blew, oliver",119,False,False,0,0
10,Nod/Nodding/Mmhm,General,"nod, nodding, mmhm, smiling",118,False,True,0,104
11,Fra/Cw/Kgw,General,"fra, cw, kgw, optimal",116,True,False,50,0
12,Wine/Winet/Loungerand,General,"wine, winet, loungerand, winen",115,True,False,39,0
13,Feel/Giddy/Youto,Emotional,"feel, giddy, youto, connected",111,False,False,0,0
14,Meng/Tryingto/Desire,General,"meng, tryingto, desire, nééd",105,False,False,0,0
15,Laugh/Closet/Laughing,General,"laugh, closet, laughing, chuckle",104,False,True,0,101
16,Dinner/Delicious/Eats,Daily Life,"dinner, delicious, eats, grilled",102,False,False,0,0
17,Breath/Breathes/Deep,Daily Life,"breath, breathes, deep, breathe",100,False,False,0,0
18,Skate/Sign/Sharp,General,"skate, sign, sharp, siort",99,False,False,0,0
19,Chuckle/Reward/Éhuckles,General,"chuckle, reward, éhuckles, andnod",96,False,False,0,0
20,Lam/Compromise/Btarttyping,General,"lam, compromise, btarttyping, yourthe",95,False,False,0,0
21,Straw/Package/Grab,Physical,"straw, package, grab, hand",94,False,False,0,0
22,Bum/Kiss/Cheek,General,"bum, kiss, cheek, morning",93,False,False,0,0
23,Hrimm/Smilitig/13,General,"hrimm, smilitig, 13, beg",93,False,False,0,0
24,Sleep/Asleep/Snuggling,General,"sleep, asleep, snuggling, nap",92,False,False,0,0
25,Atready/Knowy/Knowwtiat,General,"atready, knowy, knowwtiat, yaytthank",89,False,False,0,0
26,Eyebrow/Raise/Brow,General,"eyebrow, raise, brow, pupil",88,False,False,0,0
27,Ae/Eve/Aes,General,"ae, eve, aes, étands",88,False,False,0,0
28,Merry/Christmas/Yx,General,"merry, christmas, yx, smixy",86,False,False,0,0
29,Letter/Word/Sdys,General,"letter, word, sdys, withthe",83,True,False,49,0
30,Eee/Ee/Adam,General,"eee, ee, adam, efe",83,False,False,0,0
31,Gz/Gq/Rion,General,"gz, gq, rion, chao",81,False,False,0,0
32,Eats/Food/Eat,Daily Life,"eats, food, eat, appetite",80,False,False,0,0
33,Adorable/Cute/Cuteness,General,"adorable, cute, cuteness, cutest",80,False,False,0,0
34,Mace/Rank/Ranch,General,"mace, rank, ranch, rack",80,False,False,0,0
35,Tamcuricus/Slease/Arttyping,General,"tamcuricus, slease, arttyping, jone",80,False,False,0,0
36,Moan/Loudly/Whimper,General,"moan, loudly, whimper, louder",79,False,False,0,0
37,Flower/Tulip/Rose,General,"flower, tulip, rose, spring",79,False,False,0,0
38,Constantly/Singularity/Mybesttoexamine,General,"constantly, singularity, mybesttoexamine, remémberthe",78,False,False,0,0
39,Smell/Smoke/Drag,General,"smell, smoke, drag, passing",78,False,False,0,0
40,Think/Yourkindof/Totélyousomething,General,"think, yourkindof, totélyousomething, buttonight",78,False,False,0,0
41,Kitten/Basket/Thait,General,"kitten, basket, thait, tabby",78,True,False,50,0
42,Aay/Tine/Iy,General,"aay, tine, iy, belay",78,False,False,0,0
43,810/Kidtoday/Becauselam,General,"810, kidtoday, becauselam, hadonly",77,False,False,0,0
44,7124/Showy/Thendowndownastar,General,"7124, showy, thendowndownastar, vhat",76,True,False,47,0
45,Proud/Starviyping/Smileslamexcited,General,"proud, starviyping, smileslamexcited, whemthey",76,False,False,0,0
46,Whisper/Obvious/Created,Daily Life,"whisper, obvious, created, turned",76,False,False,0,0
47,Roughly/Kiss/Back,General,"roughly, kiss, back, linked",76,False,False,0,0
48,Kiss/1979S/Anyonesbefore,General,"kiss, 1979s, anyonesbefore, yesam",75,False,False,0,0
49,Donkey/Doo/Kiss,General,"donkey, doo, kiss, kong",75,False,False,0,0
50,Cheek/Kiss/Tstandsfor,General,"cheek, kiss, tstandsfor, inyourear",72,False,False,0,0
51,Boob/Average/Youtuke,General,"boob, average, youtuke, assumemy",72,False,False,0,0
52,Loud/Laugh/Laughing,General,"loud, laugh, laughing, meanslm",72,False,False,0,0
53,Clit/Pussy/Lick,General,"clit, pussy, lick, cock",72,False,False,0,0
54,Ane/Seared/Maa,General,"ane, seared, maa, haw",70,False,False,0,0
55,Heart/Melting/Magic,Emotional,"heart, melting, magic, 1desired",69,False,False,0,0
56,Vow/Cain/Bredks,General,"vow, cain, bredks, torment",69,False,False,0,0
57,Ace/Ue/Ag,General,"ace, ue, ag, ae",68,False,False,0,0
58,Dream/Dreamed/Enchanted,General,"dream, dreamed, enchanted, variety",68,False,False,0,0
59,Fucking/Slam/Thrust,Informal,"fucking, slam, thrust, cunt",67,False,False,0,0
60,Honest/Going/Mofe,General,"honest, going, mofe, twoglcasses",66,False,False,0,0
61,Prior/Uniionia/Stéthére,General,"prior, uniionia, stéthére, stirgery",65,False,False,0,0
62,Bite/Lip/Aime,General,"bite, lip, aime, ohidont",65,False,False,0,0
63,Happens/Natural/37,General,"happens, natural, 37, nowwe",64,False,False,0,0
64,Nose/Poke/Snow,General,"nose, poke, snow, poking",63,False,False,0,0
65,Tart/Tar/Targa,General,"tart, tar, targa, skateboard",63,False,False,0,0
