Top 10 Topics by Proportion
===========================

USER:
 1. Topic -1 - count=1866, prop=0.118
 2. Topic 0 - count=1428, prop=0.090
 3. Topic 4 - count=94, prop=0.006
 4. Topic 10 - count=84, prop=0.005
 5. Topic 6 - count=76, prop=0.005
 6. Topic 17 - count=64, prop=0.004
 7. Topic 37 - count=63, prop=0.004
 8. Topic 8 - count=60, prop=0.004
 9. Topic 20 - count=59, prop=0.004
10. Topic 44 - count=55, prop=0.003

Chatbot:
 1. Topic -1 - count=4411, prop=0.155
 2. Topic 0 - count=600, prop=0.021
 3. Topic 1 - count=303, prop=0.011
 4. Topic 2 - count=210, prop=0.007
 5. Topic 3 - count=148, prop=0.005
 6. Topic 7 - count=134, prop=0.005
 7. Topic 5 - count=132, prop=0.005
 8. Topic 9 - count=116, prop=0.004
 9. Topic 11 - count=105, prop=0.004
10. Topic 14 - count=105, prop=0.004
